angle_deg,Bx[mT],By[mT],Bz[mT],Bx[LSB],By[LSB],Bz[LSB]
0,3.6650332594235024,-1.8831116038433113,5.102320768662231,108.13673318551368,-55.56393200295639,150.54767184035478
15,5.396540016168149,-6.94951495553759,5.835262732417138,159.19563459983831,-204.9967663702506,172.17219078415522
30,1.3173242811501598,-12.241948881789137,-0.26159744408945684,38.86741214057508,-361.1190095846645,-7.686102236421725
45,-3.848562499999999,-8.419784722222222,-5.670444444444445,-113.54444444444445,-248.38680555555555,-167.31041666666667
60,-3.9542779078844656,-2.82088212334114,-5.6679156908665105,-116.65417642466822,-83.20765027322405,-167.2256049960968
75,-2.146923076923077,-2.8732264957264957,-3.839779202279202,-63.32051282051282,-84.74216524216524,-113.27920227920228
90,-2.7100986610288937,-6.666116983791402,-5.007047216349542,-79.94855532064834,-196.646229739253,-147.71458773784354
105,-8.317163072776282,-8.692486522911052,-11.357998652291103,-245.34097035040432,-256.4292452830189,-335.04177897574124
120,-13.266538461538461,-0.4035723598435462,-15.420945241199478,-391.374185136897,-11.908083441981747,-454.9230769230769
135,-9.336501818181818,7.6284363636363635,-10.360945454545455,-275.42836363636366,225.048,-305.6152727272727
150,-4.05617358490566,6.52034716981132,-4.89427924528302,-119.65584905660377,192.35924528301888,-144.36377358490566
165,-2.3655441478439427,2.647132101300479,-3.7850034223134834,-69.77070499657769,78.0965092402464,-111.66598220396989
180,-3.812841726618704,1.642892086330935,-5.791892086330935,-112.49712230215827,48.477697841726616,-170.85971223021582
195,-5.695639320029563,7.219866962305987,-6.88829268292683,-168.04434589800442,212.9948263118995,-203.18477457501848
210,-0.8859938603223331,12.984251726784347,0.006891788181120491,-26.120491174213353,383.0276285495012,0.21795855717574827
225,4.527616361071932,8.05750352609309,6.583455571227081,133.57827926657265,237.6904090267983,194.2179125528914
240,3.7337436548223346,2.474727157360406,5.554644670050762,110.16751269035532,73.02030456852792,163.86230964467006
255,1.9285174418604654,3.1791279069767437,3.8384665697674416,56.893168604651166,93.79941860465117,113.25
270,2.644122479462285,7.252554144884242,5.315190440627334,78.00149365197909,213.96041822255415,156.80582524271844
285,8.678255250403877,9.305735056542812,11.900234248788369,256.0048465266559,274.5226171243942,351.06219709208403
300,13.868864373783259,1.2684750162232317,16.70868916288125,409.1505515898767,37.42764438676184,492.9020116807268
315,9.922045611610228,-8.018590186592952,10.96464409122322,292.7083621285418,-236.54664823773325,323.44160331720803
330,4.131282593375618,-6.917420718816069,4.854291754756871,121.85764622973926,-204.04228329809726,143.19027484143763
345,2.4800894085281984,-3.347077028885832,3.487661623108666,73.17744154057772,-98.73590096286107,102.86382393397524
360,3.635465268676278,-2.0081520314547836,4.872228047182176,107.26343381389253,-59.23853211009175,143.7175622542595
